Unique ID	Make	Model	Trim	VIN	Color	Mileage	Price	ImgUrl
6156691	Acura	ILX	N/A	19VDE1F34DE001667	Gray	69,800	$10,995	http://x-img.autorevo.com/2013-acura-ilx-naugatuck-ct-6156691/1674370-0-medium.jpg
6120966	Acura	MDX	N/A	2HNYD2H27DH524363	Gray	16,700	$24,995	http://x-img.autorevo.com/2013-acura-mdx-naugatuck-ct-6120966/1638659-0-medium.jpg
6134071	Acura	MDX	Tech Pkg	2HNYD2H69BH507306	Black	102,700	$14,995	http://x-img.autorevo.com/2011-acura-mdx-naugatuck-ct-6134071/1651154-0-medium.jpg
6162662	Acura	MDX	Tech Pkg	2HNYD2H64BH528452	Silver	108,100	$14,495	http://x-img.autorevo.com/2011-acura-mdx-naugatuck-ct-6162662/1680556-0-medium.jpg
5064413	Acura	MDX	N/A	2HNYD28258H503405	Tan	79,100	$11,995	http://x-img.autorevo.com/2008-acura-mdx-naugatuck-ct-5064413/1621189-0-medium.jpg
6126969	Acura	TL	N/A	19UUA9F24EA000405	Black	27,400	$21,995	http://x-img.autorevo.com/2014-acura-tl-naugatuck-ct-6126969/1643774-0-medium.jpg
6125385	Acura	TL	Tech	19UUA9F57EA001610	Burgundy	48,600	$20,995	http://x-img.autorevo.com/2014-acura-tl-naugatuck-ct-6125385/1642864-0-medium.jpg
6138942	Acura	TL	Tech	19UUA8F50CA002721	Gray	124,800	$9,995	http://x-img.autorevo.com/2012-acura-tl-naugatuck-ct-6138942/1681278-0-medium.jpg
6163343	Acura	TL	Tech	19UUA8F58BA006949	Black	57,900	$12,995	http://x-img.autorevo.com/2011-acura-tl-naugatuck-ct-6163343/1681143-0-medium.jpg
6144596	Acura	TL	N/A	19UUA9F22AA007668	Gray	67,000	$13,995	http://x-img.autorevo.com/2010-acura-tl-naugatuck-ct-6144596/1662306-0-medium.jpg
6157012	Acura	TL	N/A	19UUA9F53AA009388	Black	93,800	$11,495	http://x-img.autorevo.com/2010-acura-tl-naugatuck-ct-6157012/1674882-0-medium.jpg
6121038	Acura	TL	Tech	19UUA8F56AA012537	White	46,600	$13,895	http://x-img.autorevo.com/2010-acura-tl-naugatuck-ct-6121038/1638744-0-medium.jpg
6134106	Acura	TL	N/A	19UUA66288A053708	Gray	65,500	$10,495	http://x-img.autorevo.com/2008-acura-tl-naugatuck-ct-6134106/1651198-0-medium.jpg
