Unique ID	Make	Model	Trim	VIN	Color	Mileage	Price	ImgUrl
6161179	Acura	ILX	N/A	19VDE1F74EE003276	Polished Metal Metalli	37467	$15,950	http://x-img.autorevo.com/2014-acura-ilx-waterbury-ct-6161179/1679063-0-medium.jpg
6124183	Audi	A4	N/A	WAUCB28D6XA046394	Gray	171590	$2,450	http://x-img.autorevo.com/1999-audi-a4-waterbury-ct-6124183/1641812-0-medium.jpg
6093878	Audi	S6	N/A	WAUGN74F67N085377	Brilliant Black	155690	$10,995	http://x-img.autorevo.com/2007-audi-s6-wallingford-ct-6093878/1611266-0-medium.jpg
6157768	BMW	X1	xDrive28i	WBAVL1C57FVY30803	Mineral Gray Metalli	34024	$19,895	http://x-img.autorevo.com/2015-bmw-x1-xdrive28i-waterbury-ct-6157768/1675675-0-medium.jpg
6096030	Buick	Century	N/A	2G4WS52J011225396	Gold Metalli	N/A	$2,950	http://x-img.autorevo.com/2001-buick-century-wallingford-ct-6096030/1613509-0-medium.jpg
6092946	Buick	Lucerne	N/A	1G4HE57Y38U148639	Black Onyx	149222	$4,950	http://x-img.autorevo.com/2008-buick-lucerne-wallingford-ct-6092946/1610687-0-medium.jpg
6102905	Buick	Park	Avenue	1G4CW52K0W4639242	Green	N/A	$1,250	http://x-img.autorevo.com/1998-buick-park-avenue-waterbury-ct-6102905/1621587-0-medium.jpg
6154047	Cadillac	CTS	Sedan	1G6DL5E37C0122466	Black Diamond Tricoat	28376	$24,950	http://x-img.autorevo.com/2012-cadillac-cts-sedan-waterbury-ct-6154047/1672439-0-medium.jpg
6102914	Chevrolet	Cavalier	N/A	1G1JC5242W7275693	Green	N/A	$990	http://x-img.autorevo.com/1998-chevrolet-cavalier-wallingford-ct-6102914/1621019-0-medium.jpg
6130736	Chevrolet	Equinox	N/A	2CNDL23F656169311	Black	137839	N/A	http://x-img.autorevo.com/2005-chevrolet-equinox-waterbury-ct-6130736/1647796-0-medium.jpg
6102888	Chevrolet	Impala	N/A	2G1WB58K079203468	White	N/A	$3,900	http://x-img.autorevo.com/2007-chevrolet-impala-wallingford-ct-6102888/1620982-0-medium.jpg
