Unique ID	Make	Model	Trim	VIN	Color	Mileage	Price	ImgUrl
HAF428	Nissan	Rogue	S	5N1AT2MV8GC778385	N/A	10,576	$18,593	http://www.irwinhyundai.com/assets/inventory/vehicles/5n1at2mv8gc778385/ip/thumbs/1-320.jpg
HHT954A	Hyundai	Elantra	SE	KMHDH4AE5GU530118	N/A	27,751	$11,658	http://www.irwinhyundai.com/assets/inventory/vehicles/kmhdh4ae5gu530118/ip/thumbs/1-320.jpg
HPP034A	Volvo	XC90	T6 Momentum	YV4A22PK8G1031208	Luminous San	16,384	$48,884	http://www.irwinhyundai.com/assets/inventory/vehicles/yv4a22pk8g1031208/ip/thumbs/1-320.jpg
HPP033	Jeep	Cherokee	Latitude	1C4PJMCS9FW750499	Bright White Clearcoat	14,598	$21,175	http://www.irwinhyundai.com/assets/inventory/vehicles/1c4pjmcs9fw750499/ip/thumbs/1-320.jpg
HMM024	Jeep	Patriot	Latitude	1C4NJRFB5ED725545	Bright White Clearcoat	27,780	$15,141	http://www.irwinhyundai.com/assets/inventory/vehicles/1c4njrfb5ed725545/ip/thumbs/1-320.jpg
HMM023	Chrysler	Town	& Country Touring	2C4RC1BG2ER169397	Deep Cherr	35,051	$16,623	http://www.irwinhyundai.com/assets/inventory/vehicles/2c4rc1bg2er169397/ip/thumbs/1-320.jpg
HAP130	Hyundai	Sonata	GLS	5NPEB4AC4EH888438	N/A	32,814	$11,892	http://www.irwinhyundai.com/assets/inventory/vehicles/5npeb4ac4eh888438/ip/thumbs/1-320.jpg
HAP129	Hyundai	Sonata	GLS	5NPEB4AC5EH915887	N/A	40,345	$11,483	http://www.irwinhyundai.com/assets/inventory/vehicles/5npeb4ac5eh915887/ip/thumbs/1-320.jpg
HDP007	Kia	Sorento	LX	5XYKTCA60EG453914	Wave Blu	50,875	$16,975	http://www.irwinhyundai.com/assets/inventory/vehicles/5xyktca60eg453914/ip/thumbs/1-320.jpg
HAP125	Kia	Sorento	LX	5XYKTCA63EG540805	N/A	31,117	$16,535	http://www.irwinhyundai.com/assets/inventory/vehicles/5xyktca63eg540805/ip/thumbs/1-320.jpg
HHT975A	Hyundai	Tucson	Limited	KM8JUCAG5EU793555	N/A	41,372	$16,578	http://www.irwinhyundai.com/assets/inventory/vehicles/km8jucag5eu793555/ip/thumbs/1-320.jpg
HAP126	Hyundai	Elantra	N/A	KMHDH4AE8EU068019	N/A	54,102	$10,683	http://www.irwinhyundai.com/assets/inventory/vehicles/kmhdh4ae8eu068019/ip/thumbs/1-320.jpg
HAP128	Kia	Optima	LX	KNAGM4A75E5485314	Snow White Pearl	36,053	$12,000	http://www.irwinhyundai.com/assets/inventory/vehicles/knagm4a75e5485314/ip/thumbs/1-320.jpg
HMM022	Dodge	Dart	Limited	1C3CDFCH4DD300147	N/A	53,138	$10,325	http://www.irwinhyundai.com/assets/inventory/vehicles/1c3cdfch4dd300147/ip/thumbs/1-320.jpg
HPP035	Hyundai	Elantra	Limited	5NPDH4AE7DH371385	N/A	31,381	$12,719	http://www.irwinhyundai.com/assets/inventory/vehicles/5npdh4ae7dh371385/ip/thumbs/1-320.jpg
HHT936A	Hyundai	Elantra	Limited	5NPDH4AE7DH449244	Desert Bronz	35,462	$11,503	http://www.irwinhyundai.com/assets/inventory/vehicles/5npdh4ae7dh449244/ip/thumbs/1-320.jpg
HAP127	Hyundai	Elantra	GLS	KMHDH4AE5DU014207	N/A	32,974	$11,000	http://www.irwinhyundai.com/assets/inventory/vehicles/kmhdh4ae5du014207/ip/thumbs/1-320.jpg
HHT908A	Hyundai	Elantra	Limited	KMHDH4AE5DU668270	N/A	63,236	$10,661	http://www.irwinhyundai.com/assets/inventory/vehicles/kmhdh4ae5du668270/ip/thumbs/1-320.jpg
HHT932A	Hyundai	Veloster	RE:MIX	KMHTC6AD5DU131914	N/A	88,952	$8,573	http://www.irwinhyundai.com/assets/inventory/vehicles/kmhtc6ad5du131914/ip/thumbs/1-320.jpg
HHT945A	Ford	Fusion	SEL	3FAHP0JA8CR101321	Ingot Silver Metalli	65,009	$10,111	http://www.irwinhyundai.com/assets/inventory/vehicles/3fahp0ja8cr101321/ip/thumbs/1-320.jpg
LHHT955B	Kia	Optima	LX	5XXGM4A71CG033551	Metal Bronze	92,487	$8,724	http://www.irwinhyundai.com/assets/inventory/vehicles/5xxgm4a71cg033551/ip/thumbs/1-320.jpg
